INFO 2025-12-10 06:15:29,142 autoreload 8652 22668 Watching for file changes with StatReloader
WARNING 2025-12-10 06:23:32,267 log 20416 12712 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:23:32,266 log 20416 4012 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:32,267 log 20416 6216 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:23:32,268 log 20416 4444 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:23:32,266 log 20416 9456 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:23:32,284 log 20416 4444 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:23:42,152 log 20416 4444 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:23:42,154 log 20416 4012 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:42,153 log 20416 9456 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:23:42,155 log 20416 12712 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:23:42,153 log 20416 6216 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:23:42,162 log 20416 4012 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:42,163 log 20416 9456 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:23:42,164 log 20416 4444 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:23:42,164 log 20416 12712 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:23:42,165 log 20416 6216 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:23:42,167 log 20416 4012 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:23:42,168 log 20416 9456 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:23:42,170 log 20416 4444 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:23:42,172 log 20416 12712 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:23:42,173 log 20416 6216 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:23:42,175 log 20416 12732 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:23:42,177 log 20416 23368 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:23:42,181 log 20416 23368 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:23:42,183 log 20416 12712 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:23:42,183 log 20416 6216 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:23:42,184 log 20416 4444 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:23:42,184 log 20416 11996 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:23:42,182 log 20416 12732 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:23:42,189 log 20416 11996 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:24:10,477 log 20416 11996 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:10,479 log 20416 12732 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:10,479 log 20416 4444 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:10,479 log 20416 6216 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:10,480 log 20416 12712 Not Found: /static/admin/js/calendar.js
WARNING 2025-12-10 06:24:10,482 log 20416 11996 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:10,484 log 20416 12732 Not Found: /static/admin/js/admin/DateTimeShortcuts.js
WARNING 2025-12-10 06:24:10,486 log 20416 12712 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:10,487 log 20416 6216 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:10,489 log 20416 4444 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:10,491 log 20416 11996 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:10,493 log 20416 12712 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:10,494 log 20416 6216 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:10,495 log 20416 12732 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:10,497 log 20416 11996 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:10,498 log 20416 4444 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:10,499 log 20416 12712 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:24:10,506 log 20416 4444 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:24:10,506 log 20416 11996 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:24:10,507 log 20416 12712 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:10,507 log 20416 23368 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:24:10,508 log 20416 12732 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:24:10,508 log 20416 6216 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:24:18,048 log 20416 6216 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:18,050 log 20416 12732 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:18,051 log 20416 23368 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:18,053 log 20416 12712 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:18,053 log 20416 11996 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:18,055 log 20416 6216 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:18,058 log 20416 12732 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:18,060 log 20416 11996 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:18,059 log 20416 23368 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:18,059 log 20416 12712 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:18,063 log 20416 6216 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:18,065 log 20416 11996 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:18,068 log 20416 12732 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:18,069 log 20416 23368 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:18,072 log 20416 6216 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:24:18,078 log 20416 6216 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:18,079 log 20416 4444 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:18,086 log 20416 4444 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:18,087 log 20416 6216 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:24:18,088 log 20416 23368 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:18,088 log 20416 12732 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:24:18,089 log 20416 11996 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:24:18,089 log 20416 12712 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:24:18,094 log 20416 12732 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:24:29,702 log 20416 12732 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:29,704 log 20416 11996 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:29,705 log 20416 12712 Not Found: /static/admin/css/changelists.css
WARNING 2025-12-10 06:24:29,706 log 20416 4444 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:29,706 log 20416 23368 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:29,708 log 20416 12732 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:29,711 log 20416 11996 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:29,713 log 20416 12712 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:29,714 log 20416 23368 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:29,715 log 20416 4444 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:29,715 log 20416 12732 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:29,717 log 20416 11996 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:29,718 log 20416 4444 Not Found: /static/admin/css/changelists.css
WARNING 2025-12-10 06:24:29,719 log 20416 23368 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:29,721 log 20416 12712 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:29,723 log 20416 12732 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:29,724 log 20416 11996 Not Found: /static/admin/img/search.svg
WARNING 2025-12-10 06:24:29,731 log 20416 11996 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:29,732 log 20416 12712 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:29,732 log 20416 12732 Not Found: /static/admin/js/filters.js
WARNING 2025-12-10 06:24:34,634 log 20416 12732 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:34,636 log 20416 6216 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:34,637 log 20416 23368 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:34,635 log 20416 12712 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:34,635 log 20416 11996 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:34,640 log 20416 6216 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:34,641 log 20416 12732 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:34,644 log 20416 23368 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:34,645 log 20416 12712 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:34,646 log 20416 11996 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:34,647 log 20416 12732 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:34,648 log 20416 23368 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:34,648 log 20416 6216 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:34,650 log 20416 11996 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:34,652 log 20416 23368 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:34,653 log 20416 12732 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:24:34,654 log 20416 12712 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:34,661 log 20416 12048 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:34,662 log 20416 12712 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:24:34,663 log 20416 12732 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:34,664 log 20416 23368 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:24:34,666 log 20416 19904 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:24:34,667 log 20416 12048 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:24:34,665 log 20416 6216 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:24:43,554 log 20416 6216 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:43,555 log 20416 12048 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:43,556 log 20416 19904 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:43,556 log 20416 23368 Not Found: /static/admin/css/changelists.css
WARNING 2025-12-10 06:24:43,557 log 20416 12712 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:43,558 log 20416 6216 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:43,562 log 20416 19904 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:43,563 log 20416 1736 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:43,565 log 20416 12712 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:43,566 log 20416 23368 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:43,568 log 20416 6216 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:43,569 log 20416 19904 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:43,571 log 20416 12712 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:43,572 log 20416 1736 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:43,573 log 20416 6216 Not Found: /static/admin/img/search.svg
WARNING 2025-12-10 06:24:43,579 log 20416 7304 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:43,579 log 20416 6216 Not Found: /static/admin/js/filters.js
WARNING 2025-12-10 06:24:43,580 log 20416 12712 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:47,599 log 20416 12712 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:47,600 log 20416 6216 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:47,601 log 20416 1736 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:47,602 log 20416 19904 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:47,604 log 20416 7304 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:47,606 log 20416 12712 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:47,608 log 20416 6216 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:47,610 log 20416 7304 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:47,611 log 20416 19904 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:47,612 log 20416 1736 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:47,613 log 20416 12712 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:47,614 log 20416 6216 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:24:47,616 log 20416 7304 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:47,618 log 20416 19904 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:47,620 log 20416 1736 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:47,622 log 20416 12712 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:47,623 log 20416 19000 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:24:47,631 log 20416 19000 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:47,631 log 20416 12712 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:47,632 log 20416 1736 Not Found: /static/admin/img/icon-changelink.svg
WARNING 2025-12-10 06:24:47,633 log 20416 23368 Not Found: /static/admin/img/icon-addlink.svg
WARNING 2025-12-10 06:24:47,634 log 20416 19904 Not Found: /static/admin/img/icon-deletelink.svg
WARNING 2025-12-10 06:24:47,635 log 20416 7304 Not Found: /static/admin/img/icon-viewlink.svg
WARNING 2025-12-10 06:24:47,639 log 20416 1736 Not Found: /static/admin/js/change_form.js
WARNING 2025-12-10 06:24:51,576 log 20416 1736 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:24:51,578 log 20416 7304 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:24:51,579 log 20416 19904 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:24:51,579 log 20416 23368 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:51,580 log 20416 12712 Not Found: /static/admin/css/changelists.css
WARNING 2025-12-10 06:24:51,581 log 20416 1736 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:24:51,585 log 20416 23368 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:24:51,586 log 20416 12712 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:24:51,587 log 20416 19904 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:24:51,589 log 20416 7304 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:24:51,590 log 20416 1736 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:24:51,592 log 20416 12712 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:24:51,593 log 20416 19904 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:24:51,594 log 20416 23368 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:24:51,595 log 20416 1736 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:24:51,596 log 20416 7304 Not Found: /static/admin/img/search.svg
WARNING 2025-12-10 06:24:51,602 log 20416 7304 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:24:51,603 log 20416 23368 Not Found: /static/admin/js/filters.js
WARNING 2025-12-10 06:24:51,602 log 20416 1736 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:29:04,926 log 20416 7304 Not Found: /static/admin/css/base.css
WARNING 2025-12-10 06:29:04,928 log 20416 1736 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-12-10 06:29:04,929 log 20416 23368 Not Found: /static/admin/js/theme.js
WARNING 2025-12-10 06:29:04,929 log 20416 19000 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:29:04,932 log 20416 19904 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-12-10 06:29:04,932 log 20416 7304 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:29:04,936 log 20416 23368 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-10 06:29:04,939 log 20416 1736 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-12-10 06:29:04,937 log 20416 19000 Not Found: /static/admin/js/calendar.js
WARNING 2025-12-10 06:29:04,940 log 20416 19904 Not Found: /static/admin/js/admin/DateTimeShortcuts.js
WARNING 2025-12-10 06:29:04,941 log 20416 7304 Not Found: /static/admin/js/core.js
WARNING 2025-12-10 06:29:04,943 log 20416 23368 Not Found: /static/admin/css/forms.css
WARNING 2025-12-10 06:29:04,945 log 20416 1736 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-12-10 06:29:04,946 log 20416 19000 Not Found: /static/admin/js/actions.js
WARNING 2025-12-10 06:29:04,949 log 20416 7304 Not Found: /static/admin/js/urlify.js
WARNING 2025-12-10 06:29:04,952 log 20416 1736 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-10 06:29:04,951 log 20416 19904 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-12-10 06:29:04,954 log 20416 23368 Not Found: /static/admin/js/prepopulate_init.js
WARNING 2025-12-10 06:29:04,957 log 20416 19904 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-12-10 06:29:04,958 log 20416 1736 Not Found: /static/admin/css/responsive.css
WARNING 2025-12-10 06:29:04,958 log 20416 23368 Not Found: /static/admin/img/icon-changelink.svg
